anomes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,vl_pagadorpf,qt_pagadorpf,vl_pagadorpj,qt_pagadorpj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202206,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,12790719.97,36354,8970291.92,4045,11350776.32,24957,10520644.83,5712,3440,225,3292,205
202408,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,84024976.59,653363,15668955.97,21642,82750201.48,457820,14526502.27,68464,17543,685,17591,641
202503,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,44090434.11,221916,82369005.59,15517,44009301.65,121940,68312084.36,39686,7426,525,7184,508
202203,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,10942101.33,30907,8606052.15,3851,10490116.88,22241,7766931.44,4886,3104,210,3025,205
202508,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,87097173.73,692540,35566429.73,32228,80158060.1,428839,35763589.53,137285,16417,555,15895,522
202401,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,19971503.11,100143,12466559.95,8573,19955118.35,51625,10777949.83,13387,4915,279,4769,266
202211,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,31429960.28,181429,13871242.87,10089,28987231.48,141378,12076928.22,29669,9522,352,9335,340
202012,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,1157969.56,3700,212875.46,274,1268487.44,3479,258439.5,265,961,56,1005,67
202309,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,16895082.85,80014,11211232.41,7136,16930131.22,44935,8060510.51,10931,4627,270,4432,251
202202,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,18533692.76,86485,6807277.72,4889,16828962.32,73205,5517297.65,10694,6295,249,6385,253
202503,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,30848768.1,154305,19452235.72,11702,37247705.49,78829,15606239.22,23404,5668,364,5525,357
202403,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,22181071.06,112303,13519656.34,9352,24742077.43,59266,9803066.26,15078,5066,306,4916,289
202103,3524600,JACUPIRANGA,35,SÃO PAULO,SE,SUDESTE,5879125.03,18745,3907627.25,1667,6212952.59,18557,3082297.4,2237,3010,207,3327,222
202406,3521101,IPEÚNA,35,SÃO PAULO,SE,SUDESTE,19519304.12,104603,18510693.83,9395,19911613.95,62686,25901784.05,23144,4395,294,4266,268
202407,3524600,JACUPIRANGA,35,SÃO PAULO,SE,SUDESTE,45036464.73,293339,22566943.21,19447,46261920.68,163155,25759631.9,41827,9877,571,9818,555
202410,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,58291221.98,544453,8019546.29,13130,54142996.09,296817,10209460.25,39507,12389,350,12241,315
202405,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,53561574.92,468842,8116487.23,9856,49395067.34,265428,10215026.14,31609,11883,310,11826,296
202202,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,4992718.85,12352,623967.07,766,6467635.49,10056,739559.33,987,1317,62,1405,62
202406,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,52830466.95,486319,8517219.88,10868,49383933.74,276099,11907948.13,33243,11996,296,11924,300
202308,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,41740131.9,303279,18166110.52,14235,39760961.95,211377,16554322.14,49505,11841,425,11546,405
202405,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,20584222.38,112209,21366966.85,16659,23363118.15,72758,21165291.06,36050,4668,643,4507,580
202507,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,43805383.03,232626,68693289.74,18101,41957215.74,129232,73281650.81,44247,7582,553,7401,533
202305,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,15163871.13,67489,34356170.07,11380,16955951.2,49011,34055329.84,23317,3952,550,3817,504
202402,3129103,GURINHATÃ,31,MINAS GERAIS,SE,SUDESTE,11733011.26,43885,2638870.52,2104,13398180.21,26895,1995069.9,5719,2193,98,2163,96
202105,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,4341148.42,10290,4326536.24,1690,4752816.87,8458,4137729.42,1838,1767,140,1633,144
202012,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,3097076.32,8204,486842.63,405,3417550.08,8547,249574.63,238,1781,80,2085,71
202501,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,60035261.32,569726,8832205.69,12772,54608184.45,300536,9832310.31,40484,12497,316,12359,322
202108,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,13145746.27,55634,2654994.91,1836,12610658.62,48830,2649427.95,2085,5659,125,5805,134
202311,3131703,ITABIRA,31,MINAS GERAIS,SE,SUDESTE,338627586.78,1894492,167101898.78,110949,313767749.2,1051449,165578069.39,329716,69223,4414,67604,4143
202305,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,51478330.73,377264,9680388.54,13454,51927566.64,298239,8319851.07,32306,13953,609,14430,554
202410,3101102,AIMORÉS,31,MINAS GERAIS,SE,SUDESTE,80572230.35,431155,19756168.65,18809,74432920.32,242107,19413033.06,62245,14452,836,13954,739
202201,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,8106378.86,23730,5976016.29,2890,8720725.14,17783,4452825.91,3929,2798,190,2691,192
202103,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,6866791.22,20079,1981929.07,764,6656568.78,18835,1305900.11,519,3161,74,3468,79
202107,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,5391569.41,13784,5957294.92,2252,5065787.39,11633,8165850.55,2679,2152,157,2051,162
202102,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,1775571.17,3521,2521648.83,687,1734238.67,3068,2810291.36,655,871,99,866,94
202504,5104609,ITIQUIRA,51,MATO GROSSO,CO,CENTRO-OESTE,45454336.98,222729,93975737.86,16355,45553496.16,120943,76325036.35,40117,7483,547,7241,513
202303,3101102,AIMORÉS,31,MINAS GERAIS,SE,SUDESTE,56164860.55,209679,13207537.77,10181,49672269.57,139986,11739002.74,33065,11436,594,11097,569
202302,3106200,BELO HORIZONTE,31,MINAS GERAIS,SE,SUDESTE,8156903432.87,27606157,9648867893.95,3768901,8605127973.87,21718355,9428394634.16,10260501,1576879,162417,1565701,146275
202503,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,63044391.15,628172,9236361.75,13517,57610933.01,334545,9969849.45,43126,12677,329,12528,322
202306,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,39076109.96,268391,14710524.86,13439,36336122.73,195059,13806458.8,44033,11262,417,11229,395
202310,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,40540532.16,320536,9769360.27,9450,38771020.7,200131,10932355.4,24793,10845,283,10860,273
202101,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,1291356.93,2616,850391.84,451,1274791.51,2329,1167301.12,471,734,77,699,77
202203,2922508,NAZARÉ,29,BAHIA,NE,NORDESTE,27581813.99,156805,5980457.17,7295,28326003.23,142855,5689350.12,11520,9361,454,10375,423
202104,1502756,CONCÓRDIA DO PARÁ,15,PARÁ,NO,NORTE,9231929.53,19942,1394751.51,1292,7840311.04,18643,1418901.49,1436,2523,123,2875,132
202404,4127007,TEIXEIRA SOARES,41,PARANÁ,SU,SUL,24892883.41,113768,15213375.16,9629,31084434.05,60299,14158922.06,15158,5149,313,4997,298
202109,3123007,DORES DE CAMPOS,31,MINAS GERAIS,SE,SUDESTE,5643212.22,17253,32606497.3,4011,7194403.42,16070,31439800.27,5865,2199,341,2055,311
