ano_mes,municipio_ibge,municipio,estado_ibge,estado,sigla_regiao,regiao,valor_pagador_pf,qtd_pagador_pf,valor_pagador_pj,qtd_pagador_pj,vl_recebedorpf,qt_recebedorpf,vl_recebedorpj,qt_recebedorpj,qt_pes_pagadorpf,qt_pes_pagadorpj,qt_pes_recebedorpf,qt_pes_recebedorpj
202310,2100501,Alto Parnaíba,21,MARANHÃO,NE,NORDESTE,33440017.44,187705,9737021.55,9048,29494366.9,110959,9685834.59,27160,5348,217,5355,226
202307,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,12752725.9,83378,1156356.62,1132,11503399.53,53664,1654588.96,4206,3706,63,3757,56
202403,2514453,São José Dos Ramos,25,PARAÍBA,NE,NORDESTE,7804139.28,68010,908078.6,1234,7423996.3,42260,418073.54,4888,2236,41,2283,36
202505,4311627,Lindolfo Collor,43,RIO GRANDE DO SUL,SU,SUL,17046917.68,111503,60508595.1,8898,16319679.15,57031,60364971.16,19231,3819,305,3663,289
202411,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,82025911.01,367085,43690143.15,32606,86149849.82,219149,46229319.46,100260,12993,992,12870,964
202203,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,33585897.83,89840,17411066.03,8683,36870038.68,74202,17259431.73,17528,7746,558,7841,603
202305,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,53667487.38,188919,19390773.14,17044,54409316.32,136321,18236530.97,42820,10773,769,10753,771
202105,2604304,Cedro,26,PERNAMBUCO,NE,NORDESTE,3988284.06,14916,804953.58,252,4111893.35,15398,421719.14,392,1874,32,2022,45
202507,1701903,Araguacema,17,TOCANTINS,NO,NORTE,24174087.95,148695,5753494.19,11115,26194574.93,95422,6138148.32,34699,3705,142,3657,134
202404,2601003,Angelim,26,PERNAMBUCO,NE,NORDESTE,16415337.64,117742,1392360.54,1569,14906186.35,75136,2276699.7,7378,4376,70,4380,67
202207,5002902,Cassilândia,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,41339464.16,123119,27735743.14,11237,40829028.38,100196,21886433.15,26455,8969,635,9037,659
